time,ax,ay,az,atotal
1.0871448516845703,-0.01,0.0,0.09,0.09
1.097059726715088,-0.03,-0.01,0.09,0.09
1.107071876525879,0.0,-0.01,0.09,0.09
1.11708402633667,0.01,-0.01,0.09,0.09
1.1275157928466797,-0.01,-0.02,0.09,0.09
1.1369247436523438,-0.01,-0.02,0.08,0.08
1.1468110084533691,-0.02,-0.03,0.09,0.09
1.1567459106445312,-0.01,-0.03,0.09,0.09
1.166846752166748,0.0,-0.04,0.08,0.08
1.1766648292541504,-0.02,-0.02,0.08,0.08
1.1866497993469238,-0.02,0.01,0.09,0.09
1.1965479850769043,0.01,0.02,0.09,0.09
1.2065730094909668,-0.01,0.05,0.08,0.09
1.2165627479553223,-0.01,0.06,0.08,0.1
1.226700782775879,-0.01,0.06,0.08,0.1
1.2367119789123535,-0.01,0.04,0.08,0.09
1.2463948726654053,-0.01,0.02,0.09,0.09
1.2565007209777832,0.0,0.01,0.09,0.09
1.266265869140625,0.0,0.01,0.08,0.08
1.2766737937927246,-0.01,0.0,0.08,0.08
1.2861709594726562,-0.02,0.01,0.1,0.1
1.2961530685424805,-0.01,0.02,0.09,0.09
1.3062479496002197,-0.01,0.04,0.08,0.09
1.3227038383483887,-0.03,0.04,0.06,0.07
1.3255047798156738,0.01,0.01,0.08,0.08
1.3354618549346924,0.0,0.02,0.12,0.12
1.3457069396972656,0.01,0.0,0.07,0.07
1.3558740615844727,-0.04,-0.04,0.11,0.12
1.3660318851470947,-0.03,-0.07,0.12,0.14
1.3758618831634521,-0.03,-0.09,0.11,0.14
1.3858399391174316,0.0,-0.1,0.05,0.11
1.3960809707641602,0.02,-0.09,0.05,0.1
1.4084019660949707,-0.03,-0.07,0.11,0.13
1.4173150062561035,0.02,-0.04,0.07,0.08
1.425893783569336,-0.04,0.05,0.06,0.08
1.4360299110412598,-0.09,0.14,0.1,0.19
1.4458417892456055,-0.02,0.11,0.1,0.15
1.4558467864990234,0.02,0.08,0.08,0.11
1.4656720161437988,0.0,0.07,0.08,0.1
1.4891688823699951,0.01,0.06,0.12,0.13
1.4937388896942139,0.01,0.03,0.11,0.11
1.4973640441894531,0.02,0.01,0.05,0.05
1.5047540664672852,-0.01,-0.01,0.05,0.05
1.5151057243347168,-0.01,0.02,0.07,0.07
1.5249979496002197,0.01,0.11,0.12,0.16
1.5349249839782715,0.06,0.21,0.05,0.22
1.545111894607544,0.08,0.2,0.09,0.23
1.5552277565002441,0.09,0.09,0.1,0.16
1.5655598640441895,0.12,-0.19,0.08,0.23
1.5884547233581543,0.06,-0.52,0.05,0.52
1.5920109748840332,-0.19,-0.61,0.08,0.64
1.595818042755127,-0.25,-0.1,0.14,0.3
1.6048378944396973,0.21,0.02,0.06,0.21
1.615027904510498,0.25,-0.07,0.07,0.26
1.6245317459106445,-0.02,0.02,0.13,0.13
1.634552001953125,-0.18,0.06,0.06,0.19
1.6446259021759033,-0.01,-0.02,0.07,0.07
1.6544437408447266,-0.03,0.01,0.07,0.07
1.6647939682006836,-0.12,0.0,0.1,0.15
1.6870059967041016,-0.16,-0.01,0.08,0.17
1.6904058456420898,-0.11,-0.01,0.1,0.14
1.694309949874878,0.01,-0.04,0.08,0.09
1.7037549018859863,-0.01,-0.05,0.08,0.09
1.7142729759216309,-0.03,-0.03,0.08,0.09
1.7241768836975098,0.02,-0.04,0.07,0.08
1.7345068454742432,0.01,-0.03,0.09,0.09
1.744457721710205,-0.02,0.0,0.08,0.08
1.7540638446807861,-0.02,0.01,0.09,0.09
1.7639799118041992,0.01,0.02,0.09,0.09
1.7863759994506836,0.02,0.02,0.08,0.08
1.7894959449768066,0.12,0.02,0.11,0.16
1.793673038482666,0.13,0.02,0.07,0.14
1.8038878440856934,-0.01,0.0,0.08,0.08
1.8145527839660645,-0.09,-0.01,0.1,0.13
1.82358980178833,-0.11,0.01,0.08,0.13
1.833852767944336,-0.08,0.0,0.08,0.11
1.8442187309265137,-0.02,-0.01,0.1,0.1
1.8538427352905273,-0.01,-0.03,0.09,0.09
1.8636107444763184,0.01,-0.03,0.08,0.08
1.8857817649841309,0.04,-0.06,0.09,0.11
1.8889069557189941,0.05,-0.06,0.09,0.11
1.893178939819336,0.07,-0.06,0.09,0.12
1.9031367301940918,0.05,-0.04,0.09,0.11
1.913667917251587,0.0,0.02,0.08,0.08
1.923238754272461,-0.05,0.04,0.09,0.11
1.9335689544677734,-0.04,0.05,0.09,0.11
1.943932056427002,0.0,0.03,0.1,0.1
1.9534130096435547,0.08,-0.02,0.09,0.12
1.9630928039550781,0.08,-0.04,0.08,0.12
1.9852409362792969,0.08,-0.05,0.09,0.13
1.988252878189087,0.09,-0.05,0.08,0.13
1.992771863937378,0.02,-0.04,0.08,0.09
2.002866744995117,-0.01,-0.01,0.08,0.08
2.0133628845214844,-0.05,0.0,0.08,0.09
2.022981882095337,-0.05,0.01,0.09,0.1
2.0326168537139893,-0.04,0.01,0.09,0.09
2.042872905731201,-0.02,-0.01,0.09,0.09
2.0526857376098633,0.01,-0.04,0.09,0.09
2.0628509521484375,0.01,-0.06,0.1,0.11
2.0851640701293945,-0.03,-0.03,0.09,0.09
2.089448928833008,-0.04,0.01,0.08,0.09
2.0921268463134766,-0.04,0.03,0.08,0.09
2.102557897567749,-0.05,0.05,0.1,0.12
2.1130518913269043,-0.08,0.07,0.09,0.13
2.122267723083496,-0.1,0.07,0.09,0.15
2.132420063018799,-0.09,0.03,0.09,0.13
2.142828941345215,-0.04,-0.02,0.09,0.1
2.1522488594055176,-0.02,-0.01,0.09,0.09
2.1627559661865234,0.0,-0.02,0.08,0.08
2.1849589347839355,0.03,-0.03,0.09,0.09
2.1889688968658447,0.08,-0.03,0.08,0.11
2.192704916000366,0.03,-0.01,0.09,0.09
2.201693058013916,-0.01,0.02,0.09,0.09
2.2122397422790527,-0.02,0.04,0.08,0.09
2.222655773162842,-0.03,0.05,0.09,0.1
2.231663942337036,-0.03,0.03,0.09,0.09
2.241952896118164,-0.03,0.04,0.06,0.07
2.2520828247070312,-0.08,0.05,0.1,0.13
2.262077808380127,-0.11,0.05,0.09,0.15
2.2834389209747314,-0.11,0.02,0.09,0.14
2.2868027687072754,-0.06,-0.01,0.1,0.11
2.291473865509033,-0.01,-0.04,0.08,0.09
2.3010098934173584,0.0,-0.03,0.08,0.08
2.312037944793701,-0.01,-0.02,0.09,0.09
2.3214449882507324,0.0,-0.01,0.09,0.09
2.331296920776367,0.0,-0.01,0.08,0.08
2.341392993927002,0.01,-0.01,0.1,0.1
2.3513028621673584,0.0,-0.01,0.09,0.09
2.3614439964294434,-0.03,-0.01,0.07,0.07
2.383776903152466,-0.03,-0.03,0.08,0.09
2.387742042541504,0.01,-0.01,0.07,0.07
2.39100980758667,-0.03,-0.02,0.09,0.09
2.4016828536987305,-0.07,0.02,0.09,0.11
2.4106130599975586,-0.07,0.03,0.08,0.11
2.4214529991149902,-0.09,0.02,0.1,0.13
2.4314608573913574,-0.01,0.01,0.07,0.07
2.4411468505859375,-0.06,0.02,0.09,0.11
2.451166868209839,-0.12,0.01,0.11,0.16
2.4609298706054688,-0.04,0.01,0.08,0.09
2.482573986053467,-0.02,0.03,0.08,0.08
2.485590934753418,-0.09,0.04,0.1,0.14
2.4903807640075684,-0.05,0.04,0.08,0.1
2.5011887550354004,0.0,0.01,0.08,0.08
2.5105247497558594,0.0,0.01,0.1,0.1
2.521040916442871,0.06,-0.03,0.09,0.11
2.53049373626709,0.15,-0.07,0.09,0.18
2.540599822998047,0.22,-0.07,0.08,0.24
2.550952911376953,0.15,-0.05,0.07,0.17
2.5609030723571777,0.0,-0.02,0.09,0.09
2.5827317237854004,-0.05,0.0,0.09,0.1
2.5865230560302734,-0.02,0.0,0.09,0.09
2.589869976043701,0.01,0.0,0.09,0.09
2.601423740386963,0.0,0.01,0.09,0.09
2.609945774078369,-0.01,0.01,0.09,0.09
2.6199049949645996,-0.04,0.01,0.09,0.09
2.630441904067993,-0.03,0.0,0.08,0.08
2.639979839324951,-0.02,-0.02,0.08,0.08
2.6499767303466797,0.0,-0.02,0.09,0.09
2.6596648693084717,-0.01,-0.02,0.09,0.09
2.6821017265319824,0.01,-0.03,0.09,0.09
2.685945987701416,0.0,-0.02,0.07,0.07
2.6899638175964355,-0.03,-0.01,0.1,0.1
2.701150894165039,-0.03,-0.01,0.09,0.09
2.710310935974121,-0.02,-0.02,0.08,0.08
2.7198610305786133,-0.01,-0.02,0.09,0.09
2.730027914047241,-0.02,0.0,0.1,0.1
2.7398269176483154,-0.01,0.01,0.09,0.09
2.749608039855957,-0.01,0.02,0.07,0.07
2.759481906890869,-0.01,0.02,0.08,0.08
2.7817869186401367,-0.01,0.02,0.09,0.09
2.785616874694824,-0.02,0.0,0.08,0.08
2.7891058921813965,-0.01,-0.01,0.09,0.09
2.80277681350708,0.02,0.0,0.08,0.08
2.8093578815460205,-0.01,0.01,0.09,0.09
2.819269895553589,-0.03,0.01,0.1,0.1
2.8296618461608887,-0.01,0.0,0.08,0.08
2.839761734008789,0.0,-0.02,0.09,0.09
2.849517822265625,-0.04,-0.03,0.1,0.11
2.859506845474243,-0.03,-0.04,0.08,0.09
2.8811798095703125,-0.01,-0.06,0.07,0.09
2.884493827819824,0.0,-0.05,0.09,0.1
2.8885350227355957,0.0,-0.04,0.08,0.08
2.90095591545105,0.01,-0.02,0.08,0.08
2.908881902694702,0.01,0.0,0.09,0.09
2.9191527366638184,-0.01,0.02,0.07,0.07
2.9288439750671387,-0.01,0.04,0.09,0.09
2.9387478828430176,0.0,0.05,0.09,0.1
2.9484589099884033,0.0,0.05,0.08,0.09
2.958682060241699,-0.01,0.03,0.08,0.08
2.980012893676758,-0.01,0.02,0.08,0.08
2.9830949306488037,0.0,-0.01,0.09,0.09
2.9879350662231445,-0.01,-0.03,0.09,0.09
3.0008597373962402,-0.02,-0.04,0.09,0.1
3.008251905441284,0.0,-0.05,0.09,0.1
3.018218994140625,0.0,-0.05,0.08,0.09
3.0281519889831543,-0.01,-0.04,0.08,0.09
3.0379080772399902,-0.01,-0.03,0.08,0.08
3.0483238697052,0.0,-0.01,0.08,0.08
3.0580549240112305,0.0,0.0,0.09,0.09
3.0800728797912598,0.0,0.02,0.09,0.09
3.083453893661499,0.0,0.04,0.08,0.08
3.088268756866455,-0.02,0.04,0.09,0.1
3.098130941390991,-0.01,0.04,0.08,0.09
3.1079840660095215,0.0,0.02,0.09,0.09
3.1183438301086426,-0.01,0.01,0.08,0.08
3.128070831298828,-0.01,-0.01,0.09,0.09
3.1373367309570312,-0.01,-0.02,0.09,0.09
3.147498846054077,-0.01,-0.02,0.1,0.1
3.157784938812256,-0.02,-0.02,0.09,0.09
3.1808080673217773,-0.01,-0.02,0.07,0.07
3.184875011444092,-0.01,-0.01,0.1,0.1
3.1887879371643066,0.0,0.0,0.09,0.09
3.2012147903442383,0.0,0.0,0.06,0.06
3.2073349952697754,0.0,0.02,0.09,0.09
3.217723846435547,-0.01,0.04,0.1,0.1
3.2277438640594482,0.0,0.05,0.07,0.08
3.2375328540802,0.01,0.04,0.08,0.09
3.2477638721466064,-0.02,0.03,0.1,0.1
3.257369041442871,0.0,0.0,0.07,0.07
3.2804999351501465,0.02,-0.02,0.07,0.07
3.284465789794922,-0.04,-0.03,0.1,0.11
3.287848949432373,-0.02,-0.03,0.08,0.08
3.302299976348877,0.02,-0.05,0.09,0.1
3.306581974029541,-0.01,-0.04,0.11,0.11
3.317072868347168,-0.03,-0.03,0.09,0.09
3.3269479274749756,0.01,-0.01,0.06,0.06
3.3369250297546387,-0.01,0.01,0.11,0.11
3.347139835357666,-0.07,0.07,0.09,0.13
3.3570969104766846,-0.09,0.24,0.11,0.27
3.375882863998413,0.11,1.59,0.06,1.59
3.378790855407715,0.39,2.81,0.12,2.83
3.3863508701324463,0.61,2.62,0.15,2.69
3.3963980674743652,0.54,2.39,0.12,2.45
3.406406879425049,-1.92,3.95,-0.01,4.39
3.417304039001465,-0.59,4.07,0.25,4.12
3.4265847206115723,-0.08,3.06,0.05,3.06
3.436753749847412,-0.14,2.39,0.08,2.39
3.446474075317383,-0.09,1.88,0.15,1.88
3.4566030502319336,-0.04,1.69,0.06,1.69
3.476991891860962,-0.02,1.72,0.1,1.72
3.480536937713623,-0.02,1.99,0.13,1.99
3.485442876815796,0.01,2.47,0.09,2.47
3.4959609508514404,0.03,3.1,0.12,3.1
3.505887031555176,0.09,3.73,0.12,3.73
3.515810012817383,0.16,4.28,0.12,4.28
3.5263328552246094,0.21,4.57,0.1,4.57
3.5357847213745117,0.28,4.55,0.15,4.56
3.546267032623291,0.33,4.28,0.11,4.29
3.555945873260498,0.35,3.8,0.11,3.81
3.577012062072754,0.36,3.19,0.12,3.21
3.5809988975524902,0.34,2.63,0.11,2.65
3.5856847763061523,0.32,2.14,0.12,2.16
3.5953707695007324,0.31,1.83,0.13,1.86
3.6055679321289062,0.32,1.76,0.08,1.79
3.61545991897583,0.36,1.9,0.09,1.93
3.625487804412842,0.42,2.25,0.11,2.29
3.6356849670410156,0.49,2.7,0.12,2.74
3.6460118293762207,0.53,3.19,0.11,3.23
3.6556310653686523,0.59,3.59,0.14,3.64
3.678048849105835,0.62,3.87,0.1,3.92
3.681849956512451,0.58,3.97,0.17,4.01
3.685086727142334,0.53,3.83,0.15,3.86
3.702281951904297,0.45,3.52,0.08,3.54
3.7056949138641357,0.35,3.09,0.1,3.11
3.715338945388794,0.26,2.64,0.09,2.65
3.7251157760620117,0.17,2.28,0.11,2.28
3.7346858978271484,0.11,2.05,0.11,2.05
3.7449769973754883,0.06,1.94,0.09,1.94
3.7551429271698,0.03,2.0,0.14,2.0
3.7760629653930664,0.01,2.25,0.06,2.25
3.7806310653686523,-0.03,2.63,0.18,2.63
3.78446102142334,-0.05,3.13,-0.03,3.13
3.794266939163208,-0.06,3.55,0.09,3.55
3.804720878601074,-0.11,3.9,0.16,3.9
3.8145508766174316,-0.14,4.09,0.09,4.09
3.824244976043701,-0.14,4.08,0.06,4.08
3.834254741668701,-0.14,3.82,0.1,3.82
3.8443970680236816,-0.13,3.39,0.12,3.39
3.854680061340332,-0.09,2.94,-0.06,2.94
3.8774518966674805,-0.07,2.44,0.14,2.44
3.881715774536133,-0.07,2.15,0.08,2.15
3.88519287109375,-0.05,1.98,0.12,1.98
3.893805980682373,0.0,1.98,0.14,1.98
3.904216766357422,0.01,2.21,0.12,2.21
3.914397954940796,0.07,2.55,0.13,2.55
3.9239377975463867,0.14,2.93,0.07,2.93
3.933919906616211,0.2,3.29,0.17,3.3
3.94406795501709,0.26,3.59,0.1,3.6
3.9542527198791504,0.31,3.71,0.12,3.72
3.975322723388672,0.36,3.63,0.04,3.64
3.979891777038574,0.39,3.36,0.16,3.38
3.983637809753418,0.37,3.09,0.14,3.11
3.993736743927002,0.37,2.74,0.15,2.76
4.003867864608765,0.36,2.4,0.16,2.43
4.013550758361816,0.34,2.15,0.13,2.18
4.023581027984619,0.31,1.92,0.16,1.95
4.033463954925537,0.32,1.74,0.11,1.77
4.043688774108887,-0.02,-0.43,0.15,0.45
4.053891897201538,-0.37,-3.29,0.19,3.31
4.075911045074463,-0.28,-3.41,-0.16,3.42
4.081020832061768,-0.35,-3.41,0.2,3.43
4.084884881973267,-0.35,-3.47,0.09,3.48
4.09342098236084,-0.34,-3.52,0.08,3.53
4.103414058685303,-0.33,-3.61,0.05,3.62
4.113245010375977,-0.35,-3.65,0.13,3.66
4.1230387687683105,-0.33,-3.66,0.07,3.67
4.133052825927734,-0.32,-3.63,0.06,3.64
4.14332389831543,-0.33,-3.61,0.11,3.62
4.152754783630371,-0.33,-3.54,0.13,3.55
4.173344850540161,-0.32,-3.56,0.02,3.57
4.177126884460449,-0.32,-3.58,0.06,3.59
4.183183908462524,-0.32,-3.56,0.04,3.57
4.193189859390259,-0.31,-3.54,0.05,3.55
4.203263759613037,-0.33,-3.52,0.1,3.53
4.212519884109497,-0.33,-3.5,0.06,3.51
4.222387790679932,-0.33,-3.49,0.05,3.5
4.232588768005371,-0.32,-3.52,0.06,3.53
4.242562770843506,-0.31,-3.5,0.05,3.51
4.252527952194214,-0.32,-3.45,0.06,3.46
4.274308919906616,-0.3,-3.44,-0.02,3.45
4.279510021209717,-0.31,-3.5,0.04,3.51
4.283383846282959,-0.33,-3.5,0.15,3.51
4.292465925216675,-0.29,-3.43,-0.05,3.44
4.302499771118164,-0.3,-3.42,0.04,3.43
4.312617778778076,-0.32,-3.43,0.11,3.44
4.322232723236084,-0.31,-3.42,0.04,3.43
4.331991910934448,-0.31,-3.4,0.06,3.41
4.342092037200928,-0.3,-3.39,0.02,3.4
4.351825952529907,-0.3,-3.36,0.05,3.37
4.376832008361816,-0.31,-3.35,0.09,3.36
4.381803035736084,-0.31,-3.3,0.01,3.31
4.38563084602356,-0.33,-3.29,0.07,3.3
4.391491889953613,-0.3,-3.29,0.01,3.3
4.402148723602295,-0.31,-3.28,0.06,3.29
4.412414073944092,-0.33,-3.22,0.05,3.23
4.4215428829193115,-0.33,-3.18,0.06,3.19
4.431489944458008,-0.33,-3.13,0.04,3.14
4.441582918167114,-0.32,-3.07,0.02,3.08
4.452023029327393,-0.34,-3.04,0.09,3.06
4.474118947982788,-0.33,-2.98,0.02,2.99
